id;entry_time;exit_time;entry_speed;exit_speed;entry_detector;exit_detector;travel_time
133;0.55;11.81;40.752;47.016000000000005;d1_0;d3_0;14.20
163;0.75;17.02;17.136;61.019999999999996;d1_4;d4_1;21.40
115;1.24;13.99;10.548;46.548;d1_2;d3_2;16.10
134;1.86;13.20;32.544;46.548;d1_0;d3_0;14.80
118;1.85;2.00;51.480000000000004;50.580000000000005;d3_1;d3_1;4.20
82;2.23;68.88;35.28;68.688;d2_0;d4_0;72.80
125;2.29;2.48;42.443999999999996;42.228;d3_0;d3_0;5.10
119;2.25;2.44;41.112;41.507999999999996;d3_2;d3_2;5.20
130;2.72;19.04;6.12;49.428000000000004;d1_3;d3_3;21.10
105;3.50;16.88;28.62;44.856;d1_1;d3_1;16.90
129;3.70;16.12;1.044;55.26;d1_2;d3_2;14.40
88;3.95;69.81;46.080000000000005;59.904;d2_0;d4_1;73.60
135;4.28;19.88;18.900000000000002;43.884;d1_0;d3_0;20.10
72;5.55;70.94;48.888;61.416;d2_0;d4_1;74.10
112;6.22;20.32;16.056;48.384;d1_2;d3_1;19.20
132;6.48;20.81;14.652000000000001;43.848;d1_3;d3_3;17.60
145;7.08;18.23;56.88;47.592000000000006;d1_1;d3_1;13.80
136;7.25;21.28;26.28;43.38;d1_0;d3_0;17.70
87;7.53;70.31;36.864000000000004;69.444;d2_0;d4_0;71.50
121;7.93;8.09;52.092000000000006;52.236;d3_2;d3_2;10.30
147;8.55;21.67;29.340000000000003;47.736;d1_1;d3_1;16.40
113;9.03;21.73;26.424;50.04;d1_2;d3_2;16.40
117;9.46;9.80;53.82;54.108;d3_0;d3_0;11.70
137;9.58;23.86;25.344;44.136;d1_3;d3_3;17.50
138;9.97;23.53;28.512;45.0;d1_0;d3_0;16.80
116;10.27;10.63;49.896;50.076;d3_3;d3_3;12.70
139;11.19;23.92;30.672;46.908;d1_1;d3_1;16.00
122;11.52;11.93;44.1;44.136;d3_1;d3_1;14.20
104;11.58;23.24;31.104000000000003;49.356;d1_2;d3_2;15.00
32;11.66;72.76;42.228;55.116;d2_0;d4_1;70.50
71;11.78;12.14;49.248;49.356;d3_3;d3_3;14.10
123;12.02;12.41;46.872;46.476;d3_2;d3_2;14.60
141;12.39;24.87;36.396;46.188;d1_0;d3_0;15.90
127;13.12;13.54;43.74;43.92;d3_1;d3_1;15.70
143;13.33;24.72;36.144;50.976;d1_2;d3_2;14.50
73;13.50;75.17;55.440000000000005;45.396;d2_1;d4_1;71.00
66;13.50;25.24;40.212;49.032;d1_1;d3_1;14.90
142;14.10;26.55;34.848;50.184;d1_0;d3_1;15.50
131;14.45;14.62;46.152;45.9;d3_0;d3_0;11.10
196;15.33;26.77;29.556000000000004;54.504000000000005;d1_1;d3_0;14.50
111;15.63;77.79;46.007999999999996;42.372;d2_0;d4_1;71.60
114;15.76;25.76;34.38;52.056000000000004;d1_4;d3_3;13.10
67;16.38;26.42;46.728;49.068000000000005;d1_0;d3_0;12.90
124;16.74;17.55;52.308;55.116;d3_3;d3_3;18.60
148;17.25;28.48;38.412;42.984;d1_3;d3_3;14.90
126;18.08;18.47;46.152;46.512;d3_0;d3_0;16.80
190;18.18;27.90;45.792;52.704;d1_0;d3_0;12.60
146;18.11;29.60;29.843999999999998;53.928000000000004;d1_2;d3_2;14.10
197;18.43;28.86;47.232;49.86;d1_1;d3_1;13.30
225;19.74;31.81;49.968;61.56000000000001;d1_4;d4_1;17.00
186;19.80;30.39;45.75600000000001;49.428000000000004;d1_1;d3_1;13.40
235;20.04;29.25;49.752;52.704;d1_0;d3_0;12.10
