id;entry_time;exit_time;entry_speed;exit_speed;entry_detector;exit_detector;travel_time
163;0.79;11.44;17.46;92.196;d1_4;d4_1;14.30
115;0.86;9.57;13.751999999999999;94.32;d1_2;d3_2;10.60
130;1.22;10.56;19.404;77.22;d1_3;d3_3;11.80
82;1.86;69.74;44.892;93.528;d2_0;d4_1;72.60
118;2.03;2.19;50.148;51.12;d3_1;d3_1;4.10
134;2.19;9.44;37.836;91.8;d1_0;d3_0;9.60
125;2.38;2.54;48.6;50.436;d3_0;d3_0;4.50
119;2.43;2.60;46.007999999999996;47.34;d3_2;d3_2;4.60
132;2.82;11.97;18.215999999999998;81.936;d1_3;d3_3;11.10
129;3.00;11.34;1.8;89.064;d1_2;d3_2;9.60
105;3.29;11.19;38.484;87.588;d1_1;d3_0;10.10
135;3.56;10.95;37.116;96.192;d1_0;d3_0;9.60
88;4.16;73.53;45.36;94.248;d2_1;d4_1;75.00
136;5.12;12.33;40.068000000000005;88.524;d1_0;d3_0;9.50
112;5.50;13.19;27.288;80.85600000000001;d1_1;d3_1;11.30
138;6.15;13.46;40.32;83.592;d1_0;d3_0;9.50
72;6.29;70.87;31.536;70.956;d2_1;d4_1;72.90
117;6.69;6.88;92.844;92.592;d3_0;d3_0;8.00
87;7.08;69.37;69.192;96.22800000000001;d2_0;d4_0;68.80
145;7.15;14.32;44.532;91.26;d1_1;d3_1;9.20
122;7.21;7.40;98.64;98.964;d3_1;d3_1;8.50
123;7.67;7.86;94.788;95.03999999999999;d3_2;d3_2;9.00
116;7.66;7.92;69.696;69.624;d3_3;d3_3;9.40
126;7.73;7.93;87.94800000000001;87.66000000000001;d3_0;d3_0;8.80
141;7.76;14.75;46.656000000000006;80.64;d1_0;d3_0;9.30
127;8.19;8.38;93.528;93.348;d3_1;d3_1;9.40
142;8.87;15.78;47.016000000000005;80.928;d1_0;d3_1;9.20
147;8.89;15.60;49.14;83.844;d1_1;d3_1;8.90
71;8.98;9.25;66.42;66.276;d3_3;d3_3;10.60
137;9.22;17.47;38.34;83.52;d1_3;d3_3;10.40
113;9.62;17.24;26.712;91.908;d1_2;d3_2;10.50
133;9.87;17.31;42.912;80.38799999999999;d1_0;d3_0;9.40
139;10.34;17.22;45.72;80.676;d1_1;d3_1;9.00
