id;entry_time;exit_time;entry_speed;exit_speed;entry_detector;exit_detector;travel_time
1237;0.10;19.29;1.0080000000000002;38.376000000000005;d1_0;d3_0;21.80
1175;0.10;16.05;5.184;57.348;d1_2;d3_2;17.40
1126;0.10;16.33;2.3760000000000003;56.34;d1_3;d3_3;17.70
1094;0.10;1.00;10.692;17.424;d3_4;d3_4;4.50
1037;0.97;1.60;25.56;31.572;d4_1;d4_1;7.60
1247;1.14;15.42;19.62;43.236;d1_1;d3_1;17.80
1197;1.55;16.71;12.708;61.596;d1_4;d4_1;21.00
1236;1.75;1.89;55.512;55.476;d3_0;d3_0;3.90
1226;2.03;2.20;44.064;44.28;d3_2;d3_1;4.80
1187;2.69;69.23;37.116;65.988;d2_1;d4_1;73.70
1255;3.00;3.17;46.007999999999996;46.656000000000006;d3_0;d3_0;4.90
1026;3.29;70.27;50.4;60.732000000000006;d2_0;d4_1;74.90
1279;3.22;17.02;25.164;41.004000000000005;d1_1;d3_1;17.90
1183;4.19;4.31;67.32;67.104;d4_1;d4_1;9.00
1233;4.63;19.33;19.116;40.824;d1_2;d3_2;19.20
1238;4.75;20.99;24.840000000000003;42.300000000000004;d1_0;d3_1;19.90
1234;6.16;24.44;9.972;42.516000000000005;d1_1;d3_1;22.90
1191;6.90;21.59;21.312;46.188;d1_3;d3_2;18.20
1241;6.95;71.88;57.672;56.736;d2_1;d4_1;73.40
1244;7.15;22.38;20.052000000000003;51.048;d1_0;d3_0;18.80
49;8.04;8.19;52.632;52.128;d3_0;d3_0;10.30
1273;9.04;27.97;19.944;46.836;d1_1;d3_1;22.70
1218;9.79;10.12;53.856;54.108;d3_2;d3_2;12.00
1219;9.90;10.25;51.480000000000004;51.516000000000005;d3_1;d3_1;12.20
1243;9.90;23.70;27.18;54.54;d1_0;d3_0;17.10
1223;10.85;11.19;51.84;52.128;d3_0;d3_0;13.20
1259;10.90;21.24;36.36;49.212;d1_3;d3_3;13.50
1298;10.98;23.08;40.356;48.924;d1_2;d3_2;14.90
1230;11.65;11.81;50.76;50.724000000000004;d3_2;d3_2;11.10
1242;11.68;29.40;21.096;46.512;d1_1;d3_1;21.60
1245;11.95;25.40;27.936;45.0;d1_0;d3_0;17.10
1358;12.46;25.83;35.676;42.912;d1_2;d3_1;16.80
1246;13.02;73.53;42.588;42.048;d2_0;d3_4;67.20
1228;13.38;13.57;42.588;42.048;d3_0;d3_0;12.60
1232;13.55;13.98;43.848;40.608;d3_1;d3_1;16.10
1299;13.94;26.79;31.068000000000005;44.352000000000004;d1_0;d3_0;16.50
1303;14.12;27.10;31.788;48.528000000000006;d1_2;d3_2;16.30
1266;14.28;30.91;22.608;45.252;d1_1;d3_1;20.30
1309;15.89;29.04;29.808;45.75600000000001;d1_0;d3_0;16.40
1351;15.85;28.61;32.832;47.7;d1_2;d3_2;15.90
1293;16.22;73.09;54.0;60.912000000000006;d2_1;d4_1;65.70
1314;16.68;32.46;23.076;43.596;d1_1;d3_1;19.70
1286;16.95;27.91;28.980000000000004;65.7;d1_3;d3_3;13.50
1363;17.69;30.68;33.300000000000004;42.480000000000004;d1_2;d3_3;16.70
1340;18.37;30.49;38.484;52.488;d1_0;d3_0;14.90
1355;19.13;34.05;22.608;43.056000000000004;d1_1;d3_1;18.70
1252;19.38;74.28;47.519999999999996;64.116;d2_1;d4_1;64.40
1382;19.62;30.57;37.440000000000005;54.0;d1_2;d3_2;13.90
1316;20.21;31.74;39.384;54.072;d1_0;d3_0;14.00
1338;21.58;35.62;24.372;47.016000000000005;d1_1;d3_1;17.50
1367;21.51;33.00;32.904;49.788000000000004;d1_2;d3_2;14.70
1285;21.68;76.57;48.6;62.63999999999999;d2_0;d4_1;64.80
1239;22.11;22.28;45.828;45.972;d3_1;d3_1;18.50
1350;22.25;32.98;48.636;54.792;d1_0;d3_0;13.40
1364;23.36;78.88;34.38;58.572;d2_0;d4_0;65.10
1250;23.50;35.43;18.864;47.052;d1_1;d3_0;14.40
1392;23.93;34.27;49.752;52.272;d1_0;d3_0;13.20
1326;24.24;35.01;31.068000000000005;66.096;d1_3;d3_3;13.20
1408;25.44;35.59;50.04;51.732;d1_0;d3_0;13.10
1384;26.35;37.25;34.416000000000004;48.348;d1_1;d3_1;14.10
1295;26.47;75.44;45.648;65.268;d2_1;d4_1;60.00
1401;26.67;38.28;41.688;41.832;d1_2;d3_2;14.70
1410;27.02;36.92;50.76;51.192;d1_0;d3_0;12.70
1345;27.85;38.64;37.512;46.872;d1_3;d3_3;14.00
1372;28.32;39.19;37.404;52.632;d1_1;d3_1;13.80
1416;29.08;40.95;28.044;47.664;d1_0;d3_0;15.10
1369;30.51;40.72;46.368;51.480000000000004;d1_1;d3_1;13.00
