id;entry_time;exit_time;entry_speed;exit_speed;entry_detector;exit_detector;travel_time
337;0.30;9.84;2.16;86.724;d1_3;d3_3;10.50
100;0.26;0.94;22.032;32.004000000000005;d4_1;d4_1;5.80
381;1.23;8.27;40.572;85.03200000000001;d1_0;d3_0;9.40
319;2.02;9.90;35.568000000000005;71.244;d1_1;d3_1;10.40
376;2.07;10.82;37.728;79.596;d1_2;d3_3;11.20
348;2.11;2.39;62.13600000000001;65.48400000000001;d3_1;d3_1;3.80
287;2.73;69.22;54.576;94.932;d2_1;d4_1;72.00
421;3.11;9.93;45.75600000000001;88.56;d1_0;d3_0;9.00
351;3.22;3.39;46.512;47.448;d4_1;d4_1;8.20
369;3.59;72.19;56.376000000000005;98.316;d2_1;d4_1;74.90
87;3.54;3.87;53.388;56.808;d4_1;d4_1;7.80
353;3.72;12.13;38.844;94.968;d1_2;d3_2;10.50
380;4.13;11.30;46.440000000000005;88.272;d1_1;d3_1;9.20
364;4.90;5.19;60.048;62.028000000000006;d4_1;d4_1;9.30
427;5.16;11.97;53.028000000000006;80.85600000000001;d1_0;d3_0;8.80
418;5.19;13.56;29.052000000000003;91.8;d1_2;d3_2;10.90
310;6.05;74.82;32.868;104.436;d2_1;d4_1;76.00
156;6.13;6.55;39.636;45.54;d4_1;d4_1;6.00
366;6.24;6.43;95.616;95.724;d3_1;d3_1;7.50
331;6.75;13.00;46.080000000000005;99.072;d1_1;d3_1;8.20
423;6.85;14.30;37.188;96.696;d1_2;d3_1;9.60
433;6.95;13.48;54.9;84.384;d1_0;d3_0;8.40
350;7.29;7.80;84.384;84.384;d3_2;d3_2;8.70
323;7.40;7.95;79.70400000000001;79.70400000000001;d3_3;d3_3;8.90
395;7.60;7.95;50.544;55.007999999999996;d4_1;d4_1;6.60
372;8.25;8.49;74.16000000000001;73.908;d3_1;d3_1;9.70
455;8.48;14.78;66.852;89.604;d1_0;d3_0;8.10
445;8.96;15.92;48.852000000000004;91.116;d1_1;d3_0;8.90
452;9.24;15.64;50.976;93.456;d1_2;d3_2;8.40
357;9.26;20.77;34.632;44.244;d1_3;d3_3;14.90
373;9.50;9.73;75.528;79.56;d4_1;d4_1;12.90
379;9.97;16.76;45.216;88.308;d1_2;d3_2;8.80
