id;entry_time;exit_time;entry_speed;exit_speed;entry_detector;exit_detector;travel_time
1000;0.10;0.30;23.003999999999998;24.336;d3_4;d3_4;3.30
985;0.61;16.30;3.636;46.656000000000006;d1_2;d3_2;18.50
965;0.66;24.16;4.932;20.448;d1_4;d4_1;33.00
1064;1.29;13.10;37.62;47.916000000000004;d1_0;d3_0;15.00
676;1.41;2.52;12.312;20.304;d4_1;d4_1;9.70
913;1.53;1.81;26.928;31.356000000000005;d3_0;d3_0;4.20
1030;2.19;16.15;20.304;50.544;d1_1;d3_1;17.50
963;2.33;68.86;18.468;68.616;d2_0;d4_0;72.70
989;2.96;3.14;42.228;44.748;d3_0;d3_0;5.30
1028;3.07;14.46;35.244;47.808;d1_0;d3_0;14.70
817;3.69;4.38;23.256;28.296000000000003;d4_1;d4_1;10.80
981;4.22;68.98;27.684;49.464;d2_0;d3_4;71.00
1057;4.97;17.50;36.75600000000001;48.492000000000004;d1_1;d3_1;15.00
1071;5.11;15.81;45.252;50.832;d1_0;d3_0;13.70
936;5.20;17.87;22.212;46.116;d1_3;d3_2;16.80
728;5.46;6.12;32.652;21.312;d3_2;d3_2;13.40
820;5.54;6.07;32.580000000000005;35.712;d4_1;d4_1;12.00
946;6.67;18.09;36.396;47.519999999999996;d1_0;d3_0;14.60
959;7.03;19.80;25.164;47.124;d1_1;d3_1;16.10
567;7.06;7.53;36.396;39.636;d4_0;d4_0;13.10
1041;8.49;19.65;38.052;47.16;d1_0;d3_0;14.30
975;8.47;19.46;33.804;47.34;d1_2;d3_2;14.30
603;8.53;9.09;30.419999999999998;33.768;d4_1;d4_1;15.00
980;9.20;9.37;45.576;45.36;d3_0;d3_0;11.80
991;9.25;9.46;36.75600000000001;39.492000000000004;d3_2;d3_2;11.80
1062;9.27;21.27;29.628000000000004;49.428000000000004;d1_1;d3_1;15.30
777;10.10;10.58;35.424;38.952000000000005;d4_1;d4_1;15.40
969;10.88;11.23;51.912;52.344;d3_1;d3_1;13.20
1036;10.94;69.66;55.764;61.272;d2_1;d4_1;67.10
1076;11.26;22.84;33.732;47.376000000000005;d1_1;d3_1;15.00
977;11.37;11.76;45.54;46.152;d3_0;d3_0;13.80
942;11.52;11.91;47.016000000000005;46.836;d3_2;d3_2;14.10
1085;11.90;23.44;42.408;42.12;d1_0;d3_0;15.10
679;12.10;13.00;26.928;29.772;d4_1;d4_1;20.20
1039;12.12;23.69;32.832;43.848;d1_2;d3_2;15.20
950;12.22;12.72;35.46;36.36;d3_3;d3_3;15.10
986;12.77;13.15;46.62;46.872;d3_1;d3_1;15.30
1077;13.23;25.01;34.668000000000006;42.516000000000005;d1_1;d3_1;15.40
953;13.39;13.82;42.624;42.66;d3_2;d3_2;16.20
1087;13.31;24.87;41.616;41.796;d1_0;d3_0;14.90
1043;14.04;25.36;30.816000000000003;43.884;d1_2;d3_2;14.90
966;14.22;14.59;47.556000000000004;48.96;d3_3;d3_3;16.60
889;14.36;14.62;30.312;31.428;d4_0;d4_0;16.90
974;14.43;14.81;47.952000000000005;47.592000000000006;d3_1;d3_1;16.80
1097;15.85;26.76;44.496;44.28;d1_0;d3_0;14.30
1090;15.86;26.73;38.232;43.56;d1_1;d3_1;14.10
992;15.97;27.00;28.296000000000003;49.86;d1_3;d3_2;14.60
650;16.13;16.66;33.84;34.848;d4_0;d4_0;14.70
704;17.44;19.26;13.860000000000001;14.112;d4_1;d4_1;23.50
602;17.73;18.23;35.028000000000006;37.188;d4_0;d4_0;16.30
1047;17.86;70.82;55.836;64.26;d2_1;d4_1;61.40
1084;18.60;71.71;50.472;59.904;d2_0;d4_0;60.90
1104;18.79;30.37;37.404;47.412;d1_1;d3_1;14.70
1054;19.12;31.77;20.772;61.88400000000001;d1_2;d3_2;16.00
1142;19.25;28.25;58.284000000000006;45.792;d1_0;d3_0;11.90
700;19.31;19.79;37.656000000000006;38.484;d4_0;d4_0;14.00
1051;20.21;73.78;38.304;52.452000000000005;d2_1;d4_1;63.30
1117;20.59;30.63;44.28;54.036;d1_0;d3_0;12.80
698;20.96;21.46;14.904;15.984000000000002;d4_1;d4_1;31.30
1108;21.72;31.99;43.632;48.744;d1_1;d3_1;13.30
1131;22.30;32.90;45.288000000000004;46.872;d1_0;d3_0;13.70
1059;23.63;76.30;45.108;38.34;d2_1;d4_1;63.00
1147;24.15;34.29;50.148;46.332;d1_0;d3_0;13.20
1136;24.15;34.00;50.184;50.076;d1_1;d3_1;12.60
1146;25.52;35.36;45.54;49.86;d1_1;d3_1;12.90
988;25.53;26.28;22.644000000000002;24.588;d4_1;d4_1;29.30
1143;26.36;36.65;49.5;49.68000000000001;d1_0;d3_0;13.10
1065;26.60;77.63;38.196;39.456;d2_1;d4_0;61.50
1157;27.52;37.85;45.792;48.276;d1_1;d3_1;13.30
837;27.64;28.27;27.396;29.304000000000002;d4_1;d4_1;12.50
993;27.96;28.13;45.36;45.648;d3_1;d3_1;12.20
1086;28.00;38.39;29.268000000000004;50.796;d1_2;d3_2;14.00
1091;29.68;40.74;29.808;46.980000000000004;d1_2;d3_2;14.70
1159;29.96;39.62;51.012;51.228;d1_0;d3_0;12.40
688;30.27;31.03;20.88;26.388;d4_1;d4_1;9.90
1138;30.64;40.69;46.62;49.32;d1_1;d3_1;13.00
1121;31.18;42.14;30.924;47.376000000000005;d1_2;d3_3;14.50
1162;31.97;42.09;48.96;49.068000000000005;d1_0;d3_0;13.00
1149;32.83;42.62;47.808;50.652;d1_1;d3_1;12.60
1167;33.42;43.46;45.612;48.204;d1_0;d3_0;13.10
1083;33.97;45.13;28.692;59.508;d1_2;d3_3;13.80
1124;34.41;80.00;48.168000000000006;70.596;d2_1;d4_1;53.40
1098;34.71;45.04;43.884;48.348;d1_1;d3_1;13.40
1102;35.31;74.62;65.412;46.836;d2_0;d4_0;48.00
1112;36.05;46.60;44.64;48.096;d1_1;d3_1;13.50
1111;36.41;46.73;33.84;53.676;d1_2;d3_3;13.40
983;36.59;49.57;24.336;60.01200000000001;d1_4;d3_3;15.80
1180;37.13;46.52;51.912;51.516000000000005;d1_0;d3_0;12.30
1170;37.32;48.14;41.25600000000001;48.744;d1_1;d3_1;13.80
