id;entry_time;exit_time;entry_speed;exit_speed;entry_detector;exit_detector;travel_time
680;0.10;14.75;2.124;42.588;d1_2;d3_2;17.00
688;0.70;18.00;6.732;61.704;d1_4;d4_1;21.70
685;1.07;65.64;20.232;89.892;d2_0;d4_0;69.30
437;1.14;1.83;23.471999999999998;28.548;d4_1;d4_1;8.10
592;1.24;66.18;24.732;73.116;d2_1;d4_0;70.70
677;2.50;2.67;46.26;46.007999999999996;d3_0;d3_0;5.10
567;2.82;69.62;24.696;65.772;d2_0;d4_0;74.40
687;2.84;16.35;12.564000000000002;47.124;d1_2;d3_2;17.20
447;3.47;3.93;37.224000000000004;40.716;d4_1;d4_1;9.30
704;4.41;73.71;13.572000000000001;48.96;d2_1;d4_1;78.10
641;4.52;14.81;36.828;47.34;d1_1;d3_1;13.40
458;4.87;5.28;42.228;44.676;d4_1;d4_1;10.40
695;5.67;17.81;22.788;49.824;d1_2;d3_2;16.70
715;6.11;15.99;45.936;50.76;d1_0;d3_0;12.70
472;6.12;6.50;42.984;44.964;d4_0;d4_1;11.60
672;6.49;16.74;37.476;49.176;d1_1;d3_1;13.40
54;7.22;70.27;20.808;43.56;d2_1;d3_4;72.60
667;7.50;19.44;24.012;63.0;d1_3;d3_3;14.80
518;7.52;7.88;49.284;51.336;d4_0;d4_0;12.80
650;7.98;73.13;11.808;67.896;d2_0;d4_0;74.10
762;7.94;17.35;52.812;50.580000000000005;d1_0;d3_0;12.30
466;8.47;8.96;35.424;38.664;d4_1;d4_1;14.50
79;8.98;9.33;51.408;51.12;d3_2;d3_2;11.30
801;9.31;18.69;52.704;53.748;d1_0;d3_0;12.10
679;9.48;76.31;26.856;49.608;d2_1;d4_0;79.20
664;9.82;10.18;50.472;50.472;d3_0;d3_0;12.20
590;9.95;10.38;40.716;43.308;d4_1;d4_1;14.40
662;10.48;10.83;50.976;50.472;d3_2;d3_2;12.80
674;10.87;11.30;41.112;41.112;d3_1;d3_1;13.80
773;10.89;21.09;44.172;48.888;d1_1;d3_1;13.20
766;11.09;11.26;45.972;46.26;d3_3;d3_3;12.70
696;11.34;73.42;26.28;49.752;d2_0;d3_4;71.10
813;11.37;21.11;45.864000000000004;53.892;d1_2;d3_3;12.60
512;11.68;12.21;32.04;36.144;d4_1;d4_1;8.70
690;11.97;12.33;49.5;49.14;d3_0;d3_0;14.40
736;12.26;23.46;29.736;50.652;d1_3;d3_3;14.70
630;12.60;13.03;42.228;42.012;d3_1;d3_1;15.30
678;12.70;13.12;42.66;42.732;d3_2;d3_2;15.50
692;12.94;23.69;33.948;54.864000000000004;d1_2;d3_1;13.20
675;13.76;14.10;52.092000000000006;51.84;d3_0;d3_0;12.90
646;13.79;14.15;48.672;50.832;d4_1;d4_1;19.00
706;14.41;75.50;25.38;44.928000000000004;d2_0;d3_4;69.20
778;14.92;24.51;44.172;51.948;d1_0;d3_0;12.50
786;15.22;25.61;38.16;49.644;d1_1;d3_1;13.50
683;15.31;15.45;55.007999999999996;55.080000000000005;d4_1;d4_1;20.20
743;15.71;26.35;37.476;47.052;d1_3;d3_3;13.90
724;15.87;27.29;37.476;43.416000000000004;d1_2;d3_2;14.80
603;16.90;77.68;17.856;50.904;d2_0;d4_1;72.60
789;17.30;28.21;35.964;45.864000000000004;d1_3;d3_3;14.20
867;17.42;25.90;60.696;52.236;d1_0;d3_0;11.10
792;17.55;29.20;42.624;42.372;d1_1;d3_1;15.00
765;18.48;29.03;37.548;44.532;d1_2;d3_2;13.80
826;18.81;30.84;37.368;42.408;d1_1;d3_1;15.30
722;20.04;79.81;11.088000000000001;63.252;d2_0;d4_0;71.80
758;20.12;30.36;35.676;50.112;d1_3;d3_3;13.40
