id;class;length;entry_time;exit_time;entry_detector;exit_detector;entry_speed;exit_speed;d_from_road_start; 
79;Taxi;5.0;0.0;6.0;d1_3;d3_2;18.5;41.5;33.5; 
630;Car;5.0;0.0;10.6;d1_1;d3_1;6.1;33.4;17.6; 
646;Car;5.0;0.0;27.6;d1_4;d4_1;9.3;7.1;34.0; 
662;Car;5.0;0.0;7.2;d1_2;d3_2;15.9;35.7;32.2; 
664;Taxi;5.0;0.0;8.6;d1_0;d3_0;13.7;31.9;30.9; 
674;Car;5.0;0.0;7.8;d1_1;d3_1;14.5;34.8;31.7; 
675;Car;5.0;0.0;10.0;d1_0;d3_0;11.2;29.9;23.2; 
676;Car;5.0;0.0;88.0;d1_4;d4_1;11.2;0.0;23.4; 
677;Motorcycle;2.5;0.0;5.0;d3_0;d3_0;25.3;30.1;4.4; 
678;Car;5.0;0.0;8.8;d1_2;d3_2;11.3;35.8;21.7; 
680;Car;5.0;0.0;12.8;d1_2;d3_2;1.2;36.9;12.3; 
683;Motorcycle;2.5;0.0;14.8;d1_4;d4_1;21.0;26.9;14.7; 
687;Car;5.0;0.0;14.4;d1_2;d3_2;0.1;39.2;6.9; 
688;Car;5.0;0.0;88.0;d1_4;d4_1;6.0;0.0;13.8; 
690;Car;5.0;0.0;11.8;d1_0;d3_0;5.9;31.6;15.7; 
766;Motorcycle;2.5;0.0;5.8;d1_3;d3_3;34.5;50.9;20.6; 
54;Car;5.0;0.0;70.4;d2_1;d3_4;6.5;24.7;25.9; 
437;Medium;5.83;0.0;1.4;d4_1;d4_1;14.4;14.8;51.0; 
447;Taxi;5.0;0.0;6.0;d4_1;d4_1;12.2;15.5;32.6; 
458;Car;5.0;0.0;9.6;d4_1;d4_1;10.0;13.7;21.5; 
466;Car;5.0;0.0;15.8;d4_1;d4_1;6.6;12.3;6.1; 
472;Car;5.0;0.0;13.4;d4_0;d4_1;7.0;13.8;13.0; 
512;Car;5.0;0.0;4.0;d4_1;d4_1;13.8;14.7;41.2; 
518;Medium;5.83;0.0;22.8;d4_0;d4_1;3.3;12.1;0.3; 
567;Car;5.0;0.0;88.0;d2_0;d4_0;2.3;0.0;37.0; 
590;Medium;5.83;0.0;19.6;d4_1;d4_1;6.0;11.4;2.2; 
592;Motorcycle;2.5;0.0;71.4;d2_1;d4_0;2.2;18.7;42.6; 
650;Taxi;5.0;0.0;88.0;d2_0;d4_0;0.0;0.0;42.6; 
685;Motorcycle;2.5;0.0;68.6;d2_0;d4_0;0.0;24.2;44.4; 
704;Heavy;12.5;0.0;88.0;d2_1;d4_1;0.0;0.0;40.8; 
732;Motorcycle;2.5;0.0;0.0;d3_4;d3_4;28.1;28.1;36.7; 
679;Heavy;12.5;2.4;88.0;d2_1;d4_0;20.1;0.0;0.0; 
695;Car;5.0;3.2;16.0;d1_2;d3_2;5.7;40.1;0.0; 
641;Taxi;5.0;3.4;13.4;d1_1;d3_1;29.0;35.2;0.0; 
696;Taxi;5.0;4.4;52.4;d2_1;d3_4;17.8;13.9;0.0; 
715;Car;5.0;5.0;13.2;d1_0;d3_0;47.5;29.9;0.0; 
672;Taxi;5.0;5.4;15.2;d1_1;d3_1;29.8;34.2;0.0; 
667;Bus;12.5;5.8;19.4;d1_3;d3_3;18.1;33.1;0.0; 
