id;class;length;entry_time;exit_time;entry_detector;exit_detector;entry_speed;exit_speed;d_from_road_start; 
301;Car;5.0;0.0;5.8;d2_1;d3_0;21.3;35.8;57.9; 
323;Bus;12.5;0.0;11.0;d1_3;d3_3;7.4;29.5;29.6; 
337;Bus;12.5;0.0;14.0;d1_3;d3_3;1.2;34.2;14.8; 
348;Car;5.0;0.0;3.6;d3_1;d3_1;30.5;48.6;5.5; 
350;Bus;12.5;0.0;8.6;d1_2;d3_2;9.0;36.7;27.1; 
364;Car;5.0;0.0;12.6;d4_1;d4_1;13.9;15.4;2.0; 
366;Car;5.0;0.0;6.4;d1_1;d3_1;21.6;42.5;29.9; 
372;Taxi;5.0;0.0;8.0;d1_1;d3_1;14.5;44.8;17.2; 
373;Car;5.0;0.0;15.6;d1_4;d4_1;13.4;17.2;27.9; 
376;Motorcycle;2.5;0.0;9.2;d1_2;d3_3;30.3;43.0;0.0; 
87;Taxi;5.0;0.0;10.2;d4_0;d4_1;1.7;12.7;29.0; 
100;Taxi;5.0;0.0;0.2;d4_1;d4_1;17.8;17.8;55.5; 
156;Medium;5.83;0.0;2.2;d4_1;d4_1;17.4;18.5;45.6; 
287;Car;5.0;0.0;72.4;d2_1;d4_1;17.2;25.8;20.2; 
351;Motorcycle;2.5;0.0;5.6;d4_1;d4_1;16.6;17.3;29.3; 
369;Car;5.0;0.0;76.8;d2_0;d4_1;13.5;28.9;10.1; 
395;Car;5.0;0.0;4.6;d4_1;d4_1;17.0;18.1;34.4; 
381;Motorcycle;2.5;0.2;9.4;d1_0;d3_0;32.2;33.7;0.0; 
319;Car;5.0;0.6;9.6;d1_1;d3_1;26.9;45.4;0.0; 
310;Taxi;5.0;1.4;75.0;d2_0;d4_1;18.6;26.3;0.0; 
353;Taxi;5.0;1.8;10.4;d1_2;d3_2;31.2;42.7;0.0; 
421;Motorcycle;2.5;2.2;10.4;d1_0;d3_0;36.0;42.0;0.0; 
418;Motorcycle;2.5;2.8;12.2;d1_2;d3_2;27.0;42.3;0.0; 
380;Car;5.0;3.2;11.8;d1_1;d3_1;32.3;43.6;0.0; 
427;Taxi;5.0;4.2;11.2;d1_0;d3_0;46.6;45.8;0.0; 
423;Car;5.0;4.4;13.4;d1_2;d3_1;31.9;42.6;0.0; 
455;Motorcycle;2.5;5.0;10.6;d1_0;d3_0;62.1;45.3;0.0; 
452;Motorcycle;2.5;5.4;11.8;d1_2;d3_2;48.8;54.7;0.0; 
331;Car;5.0;5.8;15.4;d1_1;d3_1;31.4;37.3;0.0; 
