id;class;length;entry_time;exit_time;entry_detector;exit_detector;entry_speed;exit_speed;d_from_road_start; 
71;Car;5.0;0.0;12.2;d1_4;d3_3;3.5;28.6;22.4; 
115;Taxi;5.0;0.0;16.0;d1_2;d3_2;0.0;36.2;8.2; 
116;Taxi;5.0;0.0;8.6;d1_3;d3_3;10.1;33.5;29.6; 
117;Car;5.0;0.0;6.8;d1_0;d3_0;14.6;36.5;31.6; 
118;Motorcycle;2.5;0.0;3.6;d3_1;d3_1;30.9;51.9;9.6; 
119;Motorcycle;2.5;0.0;5.4;d3_2;d3_2;24.6;35.2;9.8; 
121;Motorcycle;2.5;0.0;6.2;d1_3;d3_2;18.1;37.0;37.9; 
122;Car;5.0;0.0;9.4;d1_1;d3_1;7.4;33.7;27.3; 
123;Car;5.0;0.0;10.8;d1_2;d3_2;0.9;39.5;24.9; 
124;Bus;12.5;0.0;15.8;d1_3;d3_3;1.0;30.2;22.8; 
125;Motorcycle;2.5;0.0;4.4;d3_0;d3_0;27.4;39.8;7.8; 
126;Car;5.0;0.0;8.4;d1_0;d3_0;10.0;38.1;22.5; 
127;Car;5.0;0.0;12.0;d1_1;d3_1;2.1;33.1;19.2; 
128;Car;5.0;0.0;13.2;d1_2;d3_2;0.1;35.0;19.3; 
129;Car;5.0;0.0;14.4;d1_2;d3_2;0.1;35.4;14.4; 
130;Car;5.0;0.0;18.6;d1_3;d3_3;0.0;31.4;6.5; 
131;Motorcycle;2.5;0.0;3.4;d1_0;d3_0;46.2;62.0;35.2; 
132;Motorcycle;2.5;0.0;11.2;d1_3;d3_3;14.0;48.9;7.3; 
133;Motorcycle;2.5;0.0;7.6;d1_0;d3_0;39.3;38.7;4.0; 
163;Car;5.0;0.0;16.6;d1_4;d4_1;16.0;36.9;6.0; 
82;Taxi;5.0;0.0;70.2;d2_0;d4_1;18.6;33.7;31.1; 
88;Taxi;5.0;0.0;72.0;d2_0;d4_1;34.6;30.0;11.6; 
134;Motorcycle;2.5;0.6;9.8;d1_0;d3_0;32.5;37.7;0.0; 
136;Motorcycle;2.5;1.4;8.8;d1_0;d3_0;34.9;51.0;0.0; 
135;Motorcycle;2.5;1.8;10.8;d1_0;d3_0;32.8;39.6;0.0; 
72;Motorcycle;2.5;1.8;68.4;d2_0;d4_1;29.0;36.0;0.0; 
105;Taxi;5.0;2.2;11.2;d1_1;d3_0;30.5;41.3;0.0; 
87;Taxi;5.0;3.0;91.0;d2_0;d4_0;29.4;1.7;0.0; 
112;Taxi;5.0;3.2;15.6;d1_2;d3_1;6.2;45.6;0.0; 
138;Car;5.0;4.4;14.4;d1_0;d3_0;31.2;31.4;0.0; 
141;Motorcycle;2.5;5.6;13.4;d1_0;d3_0;40.1;38.7;0.0; 
142;Motorcycle;2.5;6.4;13.6;d1_0;d3_1;40.2;44.4;0.0; 
145;Motorcycle;2.5;6.4;13.0;d1_1;d3_1;49.4;47.8;0.0; 
113;Taxi;5.0;7.4;18.4;d1_2;d3_2;16.5;36.1;0.0; 
32;Medium;5.83;7.4;76.0;d2_0;d4_1;26.4;33.2;0.0; 
147;Motorcycle;2.5;7.6;14.6;d1_1;d3_1;45.6;43.8;0.0; 
137;Bus;12.5;8.0;21.4;d1_3;d3_3;20.1;31.1;0.0; 
139;Car;5.0;9.4;18.6;d1_1;d3_1;31.5;38.2;0.0; 
73;Taxi;5.0;9.4;74.2;d2_1;d4_1;27.7;32.6;0.0; 
67;Motorcycle;2.5;10.2;16.2;d1_0;d3_0;50.6;50.1;0.0; 
104;Taxi;5.0;10.2;20.2;d1_2;d3_2;21.4;33.6;0.0; 
190;Motorcycle;2.5;10.8;17.2;d1_0;d3_0;50.5;49.2;0.0; 
66;Motorcycle;2.5;11.4;19.2;d1_1;d3_1;42.4;41.5;0.0; 
111;Car;5.0;11.4;79.8;d2_0;d4_1;26.9;32.3;0.0; 
196;Motorcycle;2.5;11.8;18.6;d1_1;d3_0;43.2;56.6;0.0; 
143;Car;5.0;12.2;21.4;d1_2;d3_2;28.1;36.5;0.0; 
186;Taxi;5.0;13.4;20.8;d1_1;d3_1;46.0;42.1;0.0; 
114;Taxi;5.0;14.6;26.4;d1_4;d3_3;25.6;27.3;0.0; 
197;Car;5.0;14.8;22.4;d1_1;d3_1;43.8;40.5;0.0; 
146;Bus;12.5;15.0;24.4;d1_2;d3_2;30.9;35.8;0.0; 
211;Car;5.0;15.0;20.6;d1_0;d3_0;56.5;56.0;0.0; 
148;Motorcycle;2.5;16.2;27.4;d1_3;d3_3;30.0;28.0;0.0; 
227;Car;5.0;16.4;22.4;d1_1;d3_0;54.8;51.2;0.0; 
235;Motorcycle;2.5;17.0;22.8;d1_0;d3_0;52.6;56.8;0.0; 
225;Car;5.0;19.0;35.0;d1_4;d4_1;44.6;30.2;0.0; 
224;Medium;5.83;20.0;26.8;d1_1;d3_1;46.7;45.4;0.0; 
217;Car;5.0;20.6;29.6;d1_2;d3_3;37.6;33.6;0.0; 
242;Motorcycle;2.5;21.2;28.4;d1_1;d3_1;44.5;46.1;0.0; 
152;Taxi;5.0;22.0;29.2;d1_2;d3_2;41.8;45.1;0.0; 
240;Taxi;5.0;23.4;30.8;d1_2;d3_2;39.3;44.8;0.0; 
239;Car;5.0;24.6;31.2;d1_1;d3_1;46.7;50.8;0.0; 
0;Bus;12.5;25.2;34.4;d1_3;d3_3;36.6;33.7;0.0; 
253;Car;5.0;25.2;32.2;d1_2;d3_1;45.2;47.4;0.0; 
260;Car;5.0;26.4;32.4;d1_2;d3_2;51.4;51.2;0.0; 
50;Car;5.0;26.4;78.6;d2_1;d4_1;24.3;27.5;0.0; 
255;Car;5.0;26.6;32.6;d1_0;d3_0;52.3;54.2;0.0; 
278;Motorcycle;2.5;26.8;33.0;d1_1;d3_0;49.6;51.5;0.0; 
281;Motorcycle;2.5;27.0;33.2;d1_1;d3_0;50.0;54.4;0.0; 
276;Motorcycle;2.5;27.4;34.0;d1_2;d3_1;47.3;51.8;0.0; 
193;Taxi;5.0;28.2;36.4;d1_3;d3_2;36.6;45.3;0.0; 
236;Motorcycle;2.5;28.2;34.0;d1_2;d3_0;51.5;55.2;0.0; 
279;Motorcycle;2.5;28.6;34.0;d1_2;d3_2;56.3;62.9;0.0; 
286;Motorcycle;2.5;28.8;34.6;d1_0;d3_0;55.0;55.7;0.0; 
215;Car;5.0;29.2;37.2;d1_3;d3_2;35.7;45.4;0.0; 
210;Motorcycle;2.5;29.6;36.2;d1_1;d3_1;45.3;52.3;0.0; 
290;Motorcycle;2.5;29.8;35.2;d1_2;d3_2;58.5;58.8;0.0; 
1;Car;5.0;31.0;37.2;d1_2;d3_0;49.2;56.4;0.0; 
272;Car;5.0;31.2;39.2;d1_1;d3_1;39.9;41.5;0.0; 
271;Medium;5.83;31.8;38.6;d1_2;d3_2;43.1;48.7;0.0; 
288;Motorcycle;2.5;32.0;38.0;d1_1;d3_0;49.1;57.4;0.0; 
294;Motorcycle;2.5;33.2;40.8;d1_1;d3_1;43.6;41.7;0.0; 
282;Medium;5.83;33.8;41.8;d1_2;d3_1;41.7;40.2;0.0; 
292;Car;5.0;34.6;40.2;d1_2;d3_2;53.2;57.7;0.0; 
299;Car;5.0;35.2;43.4;d1_1;d3_1;41.8;38.1;0.0; 
275;Motorcycle;2.5;35.8;42.0;d1_3;d3_2;47.1;52.3;0.0; 
302;Car;5.0;36.2;43.8;d1_1;d3_2;41.9;46.0;0.0; 
269;Car;5.0;36.8;43.2;d1_3;d3_3;49.5;49.9;0.0; 
306;Motorcycle;2.5;36.8;43.0;d1_0;d3_0;50.3;54.3;0.0; 
254;Car;5.0;37.0;45.2;d1_2;d3_0;34.5;42.5;0.0; 
321;Motorcycle;2.5;37.4;43.4;d1_0;d3_0;54.5;54.0;0.0; 
297;Car;5.0;38.2;45.8;d1_2;d3_2;35.7;48.5;0.0; 
191;Car;5.0;38.4;44.6;d1_1;d3_0;51.6;51.1;0.0; 
283;Car;5.0;39.4;47.4;d1_3;d3_1;39.0;44.8;0.0; 
303;Car;5.0;39.8;46.4;d1_1;d3_1;50.1;46.9;0.0; 
250;Car;5.0;41.0;46.4;d1_3;d3_3;56.4;59.1;0.0; 
325;Car;5.0;41.2;48.0;d1_1;d3_2;45.4;50.0;0.0; 
308;Car;5.0;41.6;49.2;d1_2;d3_2;42.7;45.8;0.0; 
228;Car;5.0;42.4;49.0;d1_1;d3_1;47.3;50.6;0.0; 
83;Taxi;5.0;42.6;86.0;d2_0;d4_1;18.8;21.2;0.0; 
333;Car;5.0;44.8;50.6;d1_1;d3_1;52.1;54.7;0.0; 
320;Car;5.0;45.8;53.6;d1_2;d3_2;39.7;43.7;0.0; 
329;Motorcycle;2.5;46.6;59.4;d1_4;d4_1;30.7;31.7;0.0; 
336;Car;5.0;46.8;52.4;d1_1;d3_1;52.8;57.8;0.0; 
343;Motorcycle;2.5;47.2;58.0;d1_4;d4_1;44.8;44.1;0.0; 
342;Car;5.0;49.6;54.8;d1_1;d3_1;60.0;60.1;0.0; 
334;Car;5.0;50.2;57.8;d1_2;d3_2;40.7;44.3;0.0; 
341;Car;5.0;50.8;55.8;d1_1;d3_1;60.9;64.1;0.0; 
338;Taxi;5.0;51.0;57.2;d1_3;d3_3;44.3;56.8;0.0; 
345;Motorcycle;2.5;52.2;58.8;d1_2;d3_1;47.3;47.7;0.0; 
346;Motorcycle;2.5;52.2;58.4;d1_1;d3_1;50.5;51.8;0.0; 
359;Motorcycle;2.5;52.4;58.6;d1_3;d3_3;47.9;56.6;0.0; 
101;Taxi;5.0;53.6;84.2;d2_1;d4_1;23.3;23.0;0.0; 
348;Car;5.0;53.8;91.0;d1_1;d3_1;27.4;30.5;0.0; 
350;Bus;12.5;57.0;91.0;d1_2;d1_2;22.8;9.0;0.0; 
100;Taxi;5.0;57.0;91.0;d2_1;d4_1;19.5;17.8;0.0; 
366;Car;5.0;58.2;91.0;d1_1;d1_1;26.0;21.6;0.0; 
323;Bus;12.5;58.4;91.0;d1_3;d1_3;20.3;7.4;0.0; 
