id;class;length;entry_time;exit_time;entry_detector;exit_detector;entry_speed;exit_speed;d_from_road_start; 
49;Motorcycle;2.5;0.0;6.8;d1_0;d3_0;19.2;30.8;34.7; 
1126;Bus;12.5;0.0;13.4;d1_3;d3_3;2.0;30.1;21.4; 
1175;Bus;12.5;0.0;11.4;d1_2;d3_2;4.9;36.1;15.1; 
1183;Motorcycle;2.5;0.0;9.4;d4_1;d4_1;13.3;27.8;1.6; 
1197;Medium;5.83;0.0;20.8;d1_4;d4_1;0.5;32.1;6.6; 
1218;Car;5.0;0.0;8.4;d1_2;d3_2;12.8;34.2;27.8; 
1219;Car;5.0;0.0;8.8;d1_1;d3_1;13.0;33.4;29.5; 
1222;Car;5.0;0.0;9.6;d1_2;d3_2;7.4;38.6;19.3; 
1223;Car;5.0;0.0;8.6;d1_0;d3_0;4.4;40.2;27.4; 
1226;Motorcycle;2.5;0.0;4.4;d3_2;d3_1;31.1;43.5;9.8; 
1227;Motorcycle;2.5;0.0;4.8;d2_1;d3_0;26.5;38.0;56.8; 
1228;Motorcycle;2.5;0.0;7.0;d1_0;d3_0;16.1;34.7;36.2; 
1229;Car;5.0;0.0;11.8;d1_0;d3_0;0.4;35.8;20.5; 
1230;Motorcycle;2.5;0.0;5.6;d1_2;d3_1;23.8;42.0;34.8; 
1232;Car;5.0;0.0;10.2;d1_1;d3_1;6.1;33.2;20.8; 
1236;Motorcycle;2.5;0.0;3.4;d3_0;d3_0;36.4;51.6;8.9; 
1237;Car;5.0;0.0;13.6;d1_0;d3_0;0.1;35.3;13.4; 
1239;Motorcycle;2.5;0.0;7.2;d1_1;d3_1;8.6;44.9;25.8; 
1247;Motorcycle;2.5;0.0;10.2;d1_1;d3_1;25.2;41.2;4.6; 
1250;Motorcycle;2.5;0.0;10.0;d1_1;d3_0;19.2;40.1;11.4; 
1255;Motorcycle;2.5;0.0;3.6;d3_0;d3_0;35.6;42.0;4.4; 
1316;Motorcycle;2.5;0.0;7.2;d1_0;d3_0;38.5;53.3;4.9; 
1026;Car;5.0;0.0;73.4;d2_0;d4_1;26.3;27.4;12.5; 
1037;Medium;5.83;0.0;1.0;d4_1;d4_1;18.6;19.2;50.9; 
1094;Car;5.0;0.0;1.4;d3_4;d3_4;10.0;8.9;34.0; 
1187;Car;5.0;0.0;72.0;d2_1;d4_1;18.8;28.6;26.7; 
1279;Motorcycle;2.5;0.6;10.4;d1_1;d3_0;27.1;41.2;0.0; 
1234;Car;5.0;2.2;11.8;d1_1;d3_1;24.5;39.2;0.0; 
1233;Car;5.0;2.4;14.8;d1_2;d3_1;9.2;37.8;0.0; 
1241;Car;5.0;3.0;74.6;d2_1;d4_1;29.9;27.0;0.0; 
1238;Taxi;5.0;3.2;14.0;d1_0;d3_1;19.6;44.6;0.0; 
1242;Car;5.0;4.6;15.8;d1_1;d3_1;22.8;37.1;0.0; 
1191;Bus;12.5;5.0;16.2;d1_3;d3_2;17.1;37.1;0.0; 
1350;Motorcycle;2.5;5.0;11.0;d1_0;d3_0;52.0;56.8;0.0; 
